# Traducción al español de Bassin's Black Bass (SNES). Una línea por mensaje: índice|texto.
# " / " = salto de línea, " ¶ " = fin de página (FC 01). Los códigos <..> se copian tal cual.
# Sin acentos ni Ñ: la fuente del juego no los tiene (por eso "vara" y no "caña", "cebo" y no "señuelo").
75|HAY ALGO EN / EL SONAR. ¶ PUEDEN SER / SOLO ALGAS. / PRUEBA LANZAR. ¶
76|LAS GRANDES / VAN A LAS / ALGAS HONDAS. ¶
77|HAY ALGO EN / EL SONAR. ¶ PUEDEN SER / SOLO ALGAS. / PRUEBA LANZAR. ¶
78|LAS GRANDES / VAN A LAS / ALGAS HONDAS. ¶
79|EL SONAR / MUESTRA / ALGO. ¶ LANZA SOBRE / EL FONDO DE / GRAVA. ¶
80|LAS GRANDES / PREFIEREN / LO HONDO. ¶
81|EL SONAR / MUESTRA / ALGO. ¶ LANZA SOBRE / EL FONDO DE / GRAVA. ¶
82|LAS GRANDES / PREFIEREN / LO HONDO. ¶
83|CUIDADO AL / MANEJAR / EL BOTE. ¶
84|ROMPISTE / EL BOTE! ¶ VUELVE AL / MUELLE PARA / EL PESAJE. ¶
85|USEMOS / ESTE CEBO. ¶
86|EL BOTE SE VA A / DESTROZAR SI / SIGUES ASI. ¶
87|QUE PENA. TU / BOTE QUEDO / AVERIADO. ¶ TIENES QUE / VOLVER AL / PESAJE. ¶
88|HAY ALGO / EN LOS / ARBOLES. ¶
89|ES UN BUEN / CEBO. QUE / SUERTE! ¶ GUARDALO EN / TU CAJA DE / APAREJOS. ¶
90|HAY ALGO / JUNTO A / LAS ROCAS. ¶
91|ES UN CEBO! / TE HACIA / FALTA UNO. ¶ GUARDALO EN / TU CAJA DE / APAREJOS. ¶
92|HAY ALGO / EN LOS / ARBOLES. ¶
93|ES UN CEBO / RARO. SALTA / Y AGARRALO. ¶ METELO EN / TU CAJA DE / APAREJOS. ¶
94|HAY UN OBJETO / CERCA DEL / BASURERO. ¶
95|ES UN BUEN / CEBO! QUE / BUENA SUERTE! ¶ GUARDALO EN / TU CAJA DE / APAREJOS. ¶
96|PESAJE?<FC29>
97|TERMINO EL / TORNEO. AL PESAJE ¶
98|TENGO UN / ANUNCIO. ¶ TODOS LOS / PESCADORES YA / DEBIAN VOLVER. ¶ EL EVENTO / TERMINO HACE / <03><01> MINUTOS. ¶
99|OJALA NADIE / TENGA / PENALIZACION. ¶
100|TENGO UN / ANUNCIO. ¶ EL EVENTO / TERMINO. EMPIEZA / LA PENALIZACION ¶ PARA LOS QUE / LLEGUEN TARDE. ¶
101| / EL EVENTO / CASI TERMINA. ¶
102|SON <05>:<04><01>. / HORA DEL / PESAJE. ¶
103|LLEGAS / TARDE. YA / TERMINO. ¶
104|LA PREMIACION / EMPIEZA / A LAS <08>:<04><01> AM ¶
105|ESTA ES LA / ULTIMA / NOVEDAD. ¶
106|QUIERES SALIR?<FC20>
107|GUARDADO. PULSA / ESC O SALIR / PARA VOLVER.
108|INFO TORNEO
109|<02>ER LUGAR / <03>DO LUGAR / <04>ER LUGAR ¶
110|VIVERO
111|UN PEZ
112|MEJOR PEZ
113|VIVERO
114|NO CLASIFICASTE
115|ELIMINADO
116| / PESO APROX.: / <VAR a90a00>.<VAR ab0a00>LBS. ¶ ESTE PEZ VA / DE <1F><VAR a70a00> / AHORA MISMO. ¶
117|PONLO EN / EL VIVERO. ¶
118|<VAR f31100> PECES EN / EL VIVERO. ¶
119|ELIGE UNO.<FC21>
120|   ESPECIE       PESO EST.
121|SIN PEZ! ¶
122|PESO TOT.EST.:  . LBS.
123|VER DATOS DE PEZ?<FC20>
124|ELIGE UN PEZ. / <FD>
125|(PULSA A / PARA VER.) ¶
126|/LOBINA GRANDE  /
127|/LOBINA CHICA   /
128|/LOBINA PINTA   /
129|/CRAPPIE        /
130|/MOJARRA        /
131|/PERCA          /
132|/LUCIO          /
133|/BAGRE          /
134|ELIGE UN RECORD.<FC24>
135|OFICIAL
136|NO OFICIAL
137|VER OTRO RECORD?<FC20>
138|ELIGE UN RECORD. / <FD>
139|(PULSA A / PARA VER.)
142|     ESPECIE   PESO
143|PESO TOTAL:    .  LBS.
144|;LOBINA GRANDE
145|;LOBINA CHICA
146|;LOBINA PINTA
147|;CRAPPIE
148|;MOJARRA
149|;PERCA
150|;LUCIO
151|;BAGRE
152|ESTA ES LA FOTO / Y DATOS DEL PEZ. ¶
153|VER MAS RECORDS?<FC20>
154|LAGO VALLE VERDE
155|RIO ONIX
156|LAGO BRONCE
157|LAGO PIEDRAZUL
161|RANA
164|CEBO VIBRADOR
168|GUSANO
170|RUIDOSO
172|CANGREJO
174|AGUA LIBRE
175|MUELLE
176|ALGAS
177|NENUFARES
178|ARBOL
179|JUNCO
180|PUENTE
181|ROCAS
182|PILAR
184|BOYAS
185|TRONCO
186|BIEN! PESCASTE / TU PRIMER PEZ. ¶
187|UNA LOBINA / AL PRIMER / INTENTO! ¶
188|NO ES LOBINA. / INTENTA / DE NUEVO. ¶
189|BIEN! PESCA / MAS ASI! ¶
190|LA PROXIMA / TE IRA MEJOR. ¶
191|BUENA PRACTICA / PARA PESCAR / LOBINAS. ¶
192|LINDO PEZ! / TE TRAERA / BUENA SUERTE. ¶
193|ES ENORME! / PODRIA SER / RECORD DEL LAGO ¶
194|QUE PEZ TAN / HERMOSO! TE / TRAERA SUERTE. ¶
195|ES UN MONSTRUO! / NADIE TE / ALCANZA YA! ¶
196|LOBINA GRANDE
197|LOBINA CHICA
198|LOBINA PINTA
199|CRAPPIE
200|MOJARRA
201|PERCA
202|LUCIO
203|BAGRE
204|COPIAR
205|BORRAR
206|PON TU NOMBRE. / <FD>
207|(PULSA A PARA / CONFIRMAR.)
208|ELIGE PESCADOR / <FD>
209|(PULSA A PARA / CONFIRMAR.)
210|MAS DETALLES?<FC2B>
211|ELIGE UNO. / <FD>
212|(PULSA A PARA / CONFIRMAR.)
213|ELIGE GAFAS. / <FD>
214|(PULSA A PARA / CONFIRMAR.)
215|ELIGE TU ESTILO. / <FD>
216|(PULSA A PARA / CONFIRMAR.)
217|ELIGE TU ESTILO. / <FD>
218|(PULSA A PARA / CONFIRMAR.)
219|ETAPA <02>: /  TORNEO LOCAL /  AMATEUR ¶
220|ETAPA <03>: /  CAMPEONATO /  AMATEUR ¶
221|ETAPA <04>: /  TORNEO PRO ¶
222|ETAPA <05>: /  CAMPEONATO /  MUNDIAL ¶
304|POSICIONES / AHORA EN / <FF>D<10>
305| / VA TERCERO. ¶
306|CALMA, EL / TORNEO / APENAS EMPIEZA. ¶
307|QUEDA MUCHA / ACCION / POR DELANTE! ¶
308|LA BATALLA / CASI / TERMINA. ¶ VEREMOS SI / HAY ALGUNA / SORPRESA. ¶
309|YA CASI ES / HORA DEL / PESAJE. ¶ NO LLEGUES / TARDE: TE / ELIMINARIAN. ¶
312|AHORA VAS DE <1F>
313|ELIGE UNO.<FC2D>
314|ELIGE UNO. / <FD>
315|(PULSA A / PARA SEGUIR)
316|ELIGE UNO.<FC2C>
317|ELIGE UN RECORD. / <FD>
318|(PULSA A / PARA SEGUIR)
319|ELIGE DONDE / GUARDAR EL RECORD. / PULSA A.
320|ESTA BIEN?<FC2B>
321|ELIGE UNO PARA / <FD>
322|BORRAR. / (PULSA A.)
323|DATOS BORRADOS. / EMPIEZA / DE NUEVO. ¶
324|RECORD DE TORNEO / BORRADO. TODO / EMPIEZA DE CERO! ¶
325|ELIGE UN CEBO.<FC22>
326|PONER CEBO
327|VER INFO
328|ELIGE COLOR.<FC23>
329|VIVO
331|TIPO DE CEBO: / <FD>
332|(PULSA A / PARA IR.)
336|;RANA
339|;CEBO VIBRADOR
343|;GUSANO
345|;RUIDOSO
347|;CANGREJO
349|NO TIENES / ESTE CEBO.
350|NO TIENES / NINGUN CEBO / AHORA!
351|ELIGE UN CEBO / <FD>
352|PARA VER. / (PULSA A.)
353|VER OTROS?<FC20>
354|SPINNER: / UN CEBO CLASICO / PARA LOBINAS. ¶ EN EL AGUA LA / PALETA REFLEJA / LUZ Y HACE RUIDO. ¶ MUEVE LA VARA / MIENTRAS / RECOGES. ¶
355|MINNOW: / SE HUNDE E IMITA / UN PECECILLO. ¶ ESTE CEBO SE / TAMBALEA COMO UN / PEZ HERIDO. ¶ RECOGE LENTO / MIENTRAS MUEVES / LA VARA. ¶
356|JIG-&-PORK: / ATRAE A LAS / GRANDES CON ¶ SABOR A CERDO. / MUEVELO SUAVE / HASTA EL FONDO. ¶
357|RANA: / FLOTA COMO UNA / RANA CON LAS ¶ PATAS COLGANDO. / SE DESLIZA ENTRE / ALGAS Y NENUFARES ¶ HAZLA NADAR DE / LADO A LADO Y QUE / BAILEN LAS PATAS. ¶
358|SWISHER: / CEBO FLOTANTE / CON HELICE. ¶ LA HELICE / SALPICA Y ATRAE / A LAS GRANDES. ¶ RECOGE EL SEDAL / EN TIRONES / CORTOS. ¶
359|GRUB: / PLASTICO BLANDO / CON COLA CURVA. ¶ NO SE ENGANCHA: / EL ANZUELO VA / OCULTO EN EL CUERPO ¶ SIRVE PARA / LOBINAS / CHICAS. ¶
360|CEBO VIBRADOR: / IMITA UN PEZ / RUIDOSO. ¶ RUIDOSO, SIN / LABIO, DE CABEZA / INCLINADA. ¶ USALO CUANDO LAS / LOBINAS COMAN / PECECILLOS. ¶
361|BUZZBAIT: / CEBO FLOTANTE CON / PALETA Y JIG. ¶ ZUMBA AL MOVERSE / POR EL AGUA. ¶ BUENO PARA / LOBINAS EN / AGUA POCO HONDA. ¶
362|PENCILBAIT: / FINO, DE / SUPERFICIE. ¶ IMITA UN PEZ / DEBIL EN LA / SUPERFICIE. ¶ MUEVE LA VARA / AL RECOGER. ¶
363|CRANKBAIT: / EL CEBO DE FONDO / MAS POPULAR. ¶ EL LABIO LO HACE / HUNDIRSE; SU FORMA / VIBRA AL NADAR. ¶ ALTERNA RECOGER / Y PARAR. / (HUNDE Y FLOTA) ¶
364|GUSANO: / PARECE UN GUSANO / REAL CON ANZUELO. ¶ SE DESLIZA ENTRE / LAS ALGAS. BUENO / CASI SIEMPRE. ¶ HAZ QUE SE MENEE / Y SE RETUERZA COMO / UN GUSANO REAL. ¶
365|SPINNERBAIT: / UNA PALETA DE / METAL CON JIG. ¶ LA PALETA / REFLEJA LUZ Y / HACE RUIDO. ¶ MUEVE LA VARA / MIENTRAS / RECOGES. ¶
366|RUIDOSO: / DOS ALAS HACEN / UN GRAN CHAPOTEO. ¶ ESTE CEBO / RUIDOSO ATRAE / A LAS GRANDES. ¶
367|TUBEBAIT: / PARECE UN / CALAMAR BLANDO. ¶ UN TUBO LARGO Y / FINO QUE NO / SE ENGANCHA. ¶ LANZALO ENTRE / LAS ALGAS O EN / AGUA POCO HONDA. ¶
368|CANGREJO: / CEBO DE FONDO / EN FORMA DE ¶ CANGREJO. BUENO / PARA GRANDES. ¶
369|BACKTAIL JIG: / CEBO DE FONDO / CON COLA. ¶ EL ANZUELO VA / OCULTO EN UN / PENACHO O COLA. ¶ PARA CRAPPIE, / MOJARRA Y / LOBINAS CHICAS. ¶
370|USA CRANKBAIT / O MINNOW. ¶
371|CUALQUIERA / VA BIEN. ¶
372|SACA A LOS / PECES DE / DEBAJO DEL ¶ PUENTE CON UN / MINNOW O UN / CRANKBAIT. ¶ MUEVE EL CEBO / COMO UN / PECECILLO. ¶
373|USA UN CEBO / ANTIENGANCHE. ¶ PRUEBA JIG & / PORK O / SPINNERBAIT. ¶
374|LA RANA VA / MEJOR EN LOS / NENUFARES. ¶
375|USA EL SWISHER / BAJO LOS / ARBOLES. ¶ MUEVELO COMO / UN BICHO CAIDO / DEL ARBOL. ¶
376|EL JIG & PORK / ES LO MEJOR / EN LOS JUNCOS. ¶ EL SPINNERBAIT / TAMBIEN / VA BIEN. ¶
377|USA MINNOW / O CRANKBAIT. ¶ MUEVELO COMO / UN PECECILLO. ¶
378|HAY PECECILLOS / CERCA. USA / MINNOW O ¶ CRANKBAIT PARA / SACAR UNA / GRANDE. ¶
379|LOBINAS A / MEDIA AGUA: / USA MINNOW. ¶ EN AGUA HONDA / USA UN / CRANKBAIT. ¶
380|USA UN CEBO / QUE NO SE / ENGANCHE. ¶ SPINNERBAIT / Y GUSANO / SIRVEN. ¶
381|EN ALGAS / HONDAS, UN / GUSANO O ¶ UN JIG & / PORK VAN / MUY BIEN. ¶
382|LAS LOBINAS / COMEN CERCA / DE LA GRAVA. ¶ USA CRANKBAIT / O JIG & PORK. ¶
383|LAS LOBINAS / COMEN CERCA / DE LA GRAVA. ¶ USA CRANKBAIT / O JIG & PORK. ¶
384|NO QUEDAN CEBOS / EN TU CAJA. ¶ ESE ERA / EL ULTIMO! ¶ TIENES QUE / IR AL PESAJE. ¶
385|BIENVENIDO AL
386|EMOCIONANTE
387|MUNDO DE LOBINAS
388|PREPARATE PARA MEDIR
389|TU INGENIO CON LA
390|ESCURRIDIZA LOBINA.
391|BUSCA LOBINAS
392|COMPITIENDO CON
393|OTROS RIVALES.
394|USA TU FINURA Y
395|HABILIDAD PARA SER
396|CAMPEON MUNDIAL
397|APRENDE LO QUE
398|CUESTA LLEGAR A SER
399|UN PESCADOR PRO.
400|PULSA START
401|EMPEZAR
402|VER RECORD
403|GANASTE / EL GRAN / PREMIO!
404|VIAJA EN / BUSCA DE / LAS GRANDES!
405|! / AYUDA!
406| / BUSCA LA / GRAN LOBINA!
407|<FD><04>ESO ES TODO! / CUIDATE.
408|CON JOHN
409|SIN GUIA
410|ESTE ES EL / TORNEO LOCAL / AMATEUR. ¶
411|EN EL HERMOSO / LAGO VALLE / VERDE! ¶
412|<06><01> INSCRITOS / QUIEREN / SER PROS. ¶
413|SOLO LOS <04> / MEJORES / PASAN. ¶
414|SUERTE / A TODOS! ¶
415|LAS REGLAS / DEL TORNEO: ¶
416|VER REGLAS?<FC20>
417|ESTAS EN / ESTE / TORNEO? ¶ HOLA! SOY JOHN, / PESCADOR / EXPERTO. ¶ QUIERES / MI / AYUDA? ¶
418|QUIERES GUIA?<FC20>
419|CON MIS / CONSEJOS / GANARAS. ¶
420|DEBERIAS / LLEVARME! ¶
421|IGUAL TE DOY / ESTOS CEBOS. ¶
422|JOHN TE DIO / ESTOS CEBOS. ¶
423|JOHN SE FUE / DEL MUELLE. ¶
424|EMPECEMOS / EL TORNEO. ¶
425|ESTAS SON LAS / REGLAS DEL TORNEO. ¶ HORARIO DEL TORNEO / INICIO: <08>:<01><01> A.M. / FIN:    <05>:<04><01> P.M. ¶ SOLO LAS LOBINAS / NEGRAS CUENTAN / EN EL PESAJE. ¶ EL PESO TOTAL / DETERMINA TU / POSICION. ¶ MAXIMO <06> PECES / EN EL / VIVERO. ¶ LOS PECES DE MAS / DEBEN SOLTARSE. ¶ <02> LB. DE MULTA / POR CADA MINUTO / DE RETRASO. ¶ ELIMINADO: / MAS DE <03><01> / MINUTOS TARDE. ¶
426|VER DE NUEVO?<FC20>
427|ESTE ES EL / CAMPEONATO / AMATEUR. ¶
428|EN RIO / ONIX. ¶
429|<09><01> CAMPEONES / AMATEUR / COMPITEN. ¶
430|EL GANADOR / SE CONVERTIRA / EN PRO. ¶
431|PUEDO IR? / ME LLEVAS / CONTIGO? ¶
432|GANARAS CON / MI AYUDA. ¶
433|ESTAS LISTO / PARA SER / UN PRO. ¶
434|BIENVENIDOS AL / TORNEO / PROFESIONAL. ¶ HANK PARKER / PARTICIPA EN / ESTE EVENTO. ¶ HOLA HANK! / COMO ESTAS? ¶
435|MUY BIEN! / ES UN PLACER ¶ COMPETIR CON / TODOS USTEDES. ¶
436|RELAJENSE / HASTA QUE / EMPECEMOS. ¶
437|TU SONRISA / MUESTRA TU / CONFIANZA. ¶
438|ESTAMOS EN / LAGO BRONCE. ¶
439|<09><01> PROS MUY / HABILES / PARTICIPAN. ¶
440|AHORA EMPIEZA / LA LUCHA. ¶
441|YA CONOCEN / LAS REGLAS. ¶
442|QUE EMPIECE / LA BATALLA! ¶
443|DAMAS Y / CABALLEROS, ¶ ESTE ES EL / CAMPEONATO / MUNDIAL ¶
444|EN LAGO / PIEDRAZUL. ¶
445|LOS <04><01> MEJORES / PROS / PARTICIPAN. ¶
446|SOLO HABRA / UN GANADOR. ¶
447|EL GANADOR / RECIBE / CAMIONETA Y BOTE ¶
448|SI GANAS, / PODRAS PESCAR / DONDE SEA! ¶
449|QUIEN SACARA / LA GRAN LOBINA / DEL DIA? ¶
450|QUE PENA. / NO PESCASTE / NADA. ¶
451|LOBINA GRANDE / DIMINUTA. / PESA<FD><14>..<FD><08> ¶
452|QUE BUENA / LOBINA GRANDE! / PESA<FD><14>..<FD><08> ¶
453|UNA LOBINA / GRANDE ENORME! / PESA<FD><14>..<FD><08> ¶
454|UNA LOBINA / GRANDE GIGANTE! / PESA<FD><14>..<FD><08> ¶
455|UNA LOBINA / GRANDE INMENSA! / PESA<FD><14>..<FD><08> ¶
456|LOBINA CHICA / DIMINUTA. / PESA<FD><14>..<FD><08> ¶
457|UNA LOBINA / CHICA MENUDA. / PESA<FD><14>..<FD><08> ¶
458|QUE LINDA / LOBINA CHICA! / PESA<FD><14>..<FD><08> ¶
459|QUE LOBINA / CHICA TAN / INCREIBLE! ¶
460|UNA LOBINA / CHICA ENORME! / PESA<FD><14>..<FD><08> ¶
461|LOB. CHICA
462|PINTA
463|CREO QUE / ESTE VALE. ¶
464|ESE NO / ESTA MAL. ¶
465|ES UN PEZ DE / BUENA TALLA! ¶
466|CON ESTE / ENTRAS EN / LA TABLA. ¶
467|VAYA! ES UNA / LOBINA / ENORME. ¶
468|ESTE PEZ TE / AYUDARA A / GANAR! ¶
469|NUEVO RECORD / DEL LAGO!! ¶
470|  / BRAVO! ¶
471|QUE TAL / UN FUERTE / APLAUSO! ¶
472|CUAL ES EL / PESO TOTAL? ¶
473|ES DIFICIL / ENTRAR AL / TOP <04>. ¶
474|BUENA PESCA. / ESTARA MUY / PAREJO. ¶
475|BUEN TOTAL! / AUN HAY / UNA CHANCE. ¶
476|EXCELENTE! / VAS DE <1F><02>! ¶
477|ES UN / NUEVO RECORD! ¶
478|  / BRAVO. ¶
479|LOBINA PINTA / DIMINUTA. / PESA<FD><14>..<FD><08> ¶
480|ESA LOBINA / PINTA VALE. / PESA<FD><14>..<FD><08> ¶
481|QUE BUENA / LOBINA PINTA! / PESA<FD><14>..<FD><08> ¶
482|ESA LOBINA / PINTA ES ENORME! / PESA<FD><14>..<FD><08> ¶
483|ESA LOBINA / PINTA ES GIGANTE / PESA<FD><14>..<FD><08> ¶
484|NOMBRE/
485|  / LLEGASTE TARDE / AL PESAJE. ¶ <VAR 9b1000> MIN. TARDE / MULTA=<VAR a90a00>LBS. / DEL TOTAL. ¶
486|EMPEZO / EL PESAJE. ¶ QUIEN GANARA / ESTE / TORNEO? ¶
487|VEAMOS LAS / POSICIONES / ACTUALES. ¶
488|TODOS HAN / TERMINADO / DE PESAR. ¶ CUALES <04> / PASARAN A LA / SIGUIENTE RONDA ¶
489|MIRA LA / TABLA DE / PESAJE. ¶
490|!! / VA <03>DO. ¶ EL GANADOR ES / <FF>G<10>
491|RESULTADOS / FINALES! ¶ QUIEN SERA / <1F><02>? ¶
492|POS. ESPECIE       PESO
494|;PESO TOT:  .  LBS.
495|/LOBINA GRANDE  /
496|/LOBINA CHICA   /
497|/LOBINA PINTA   /
498|TORNEO LOCAL
499|AMATEUR
500|CAMPEONATO
501|AMATEUR
502|TORNEO
503|PRO
504|CAMPEONATO
505|MUNDIAL
506|. ¶ PUEDES ENTRAR AL / <FF>}<10>
507|LO SIENTO. / SIN PREMIO / ESTA VEZ. ¶ POR QUE NO / PRUEBAS EL <FF>Y<10>
508|QUEDAS / ELIMINADO POR / ROMPER LAS REGLAS ¶ PRUEBA EL <FF>Y<10>
509|  / YA. ¶
510|GUARDAR RECORD?<FC2B>
511|QUE TAL? / TE SIRVIERON / MIS CONSEJOS? ¶
512|FUE FACIL, / VERDAD? ¶
513|SIGUE ASI / LA PROXIMA / VEZ! ¶
514|! / ERES UN PRO. ¶
515|YA NO ME / NECESITAS. ¶
516|LA SIGUIENTE / SERA MAS DURA. ¶
517|. / ADELANTE! ¶
518|TENGO UN / REGALO / PARA TI. ¶
519|JOHN TE DIO / ESTOS CEBOS / IGUAL. ¶
520|USA ESTOS. / TE AYUDARAN. ¶
521|SUERTE! ¶
522|JOHN SE FUE / A PESCAR. ¶
523|? ¶ OI QUE ERES / UN BUEN / PESCADOR. ¶ LA SIGUIENTE / ETAPA ES / MUY DIFICIL. ¶ PREPARATE / PARA PESCAR / EN SERIO. ¶
524|GANASTE EL / CAMPEONATO / MUNDIAL! ¶ ERES EL <1F><02> / PESCADOR PRO / DEL MUNDO. ¶
525|HICISTE UN / GRAN TRABAJO. ¶ ERES EL <1F><02> / PESCADOR / DEL MUNDO. ¶
526|AHI VIENE / JOHN! SE VE / EMOCIONADO. ¶
527|VINE A VER / TU PESAJE. ¶
528|GENIAL! / BIEN HECHO! ¶
529|  / GANARIA. ¶
